,year,week,variable,value,year_week
212,2016,32,T_min,24.45714285714286,2016-23
213,2016,33,T_max,31.38571428571429,2016-23
214,2016,33,T_mean,28.185714285714283,2016-23
215,2016,33,T_min,25.771428571428572,2016-23
216,2016,34,T_max,31.314285714285717,2016-23
217,2016,34,T_mean,28.128571428571426,2016-24
218,2016,34,T_min,25.9,2016-24
219,2016,35,T_max,31.099999999999998,2016-24
220,2016,35,T_mean,28.125,2016-24
221,2016,35,T_min,25.849999999999998,2016-24
222,2016,36,T_max,32.91428571428571,2016-24
223,2016,36,T_mean,28.61428571428571,2016-24
224,2016,36,T_min,24.800000000000004,2016-25
225,2016,37,T_max,31.900000000000002,2016-25
226,2016,37,T_mean,28.400000000000002,2016-25
227,2016,37,T_min,25.12857142857143,2016-25
228,2016,38,T_max,31.385714285714283,2016-25
229,2016,38,T_mean,27.271428571428572,2016-25
230,2016,38,T_min,24.52857142857143,2016-25
231,2016,39,T_max,30.066666666666666,2016-26
232,2016,39,T_mean,27.28333333333333,2016-26
233,2016,39,T_min,24.349999999999998,2016-26
234,2016,40,T_max,31.433333333333334,2016-26
235,2016,40,T_mean,27.833333333333332,2016-26
236,2016,40,T_min,25.183333333333334,2016-26
237,2016,41,T_max,30.800000000000004,2016-27
238,2016,41,T_mean,27.1,2016-27
239,2016,41,T_min,24.092857142857138,2016-27
240,2016,42,T_max,32.45714285714286,2016-27
241,2016,42,T_mean,28.928571428571427,2016-28
242,2016,42,T_min,25.349999999999998,2016-28
243,2016,43,T_max,32.91428571428572,2016-28
244,2016,43,T_mean,28.428571428571427,2016-28
245,2016,43,T_min,24.442857142857143,2016-28
246,2016,44,T_max,31.08571428571429,2016-28
247,2016,44,T_mean,27.071428571428573,2016-28
248,2016,44,T_min,24.04285714285714,2016-29
249,2016,45,T_max,32.040000000000006,2016-29
250,2016,45,T_mean,27.28,2016-29
251,2016,45,T_min,23.439999999999998,2016-29
252,2016,46,T_max,32.128571428571426,2016-29
253,2016,46,T_mean,27.814285714285713,2016-29
254,2016,46,T_min,24.440476190476193,2016-30
255,2016,47,T_max,33.8,2016-30
256,2016,47,T_mean,27.5,2016-31
257,2016,47,T_min,22.866666666666667,2016-31
258,2016,48,T_max,32.11666666666667,2016-31
259,2016,48,T_mean,27.366666666666664,2016-31
260,2016,48,T_min,23.325,2016-31
261,2016,49,T_max,31.514285714285716,2016-31
262,2016,49,T_mean,27.585714285714285,2016-32
263,2016,49,T_min,24.32857142857143,2016-32
264,2016,50,T_max,28.685714285714287,2016-32
265,2016,50,T_mean,26.071428571428573,2016-32
266,2016,50,T_min,23.764285714285716,2016-32
267,2016,51,T_max,32.0,2016-32
268,2016,51,T_mean,27.3,2016-32
269,2016,51,T_min,24.1,2016-33
270,2016,52,T_max,32.987500000000004,2016-33
271,2016,52,T_mean,27.549999999999997,2016-33
272,2016,52,T_min,24.724999999999998,2016-33
273,2017,0,T_max,31.0,2017-33
274,2017,0,T_mean,26.3,2017-33
275,2017,0,T_min,23.466666666666665,2017-33
276,2017,1,T_max,31.03333333333333,2017-34
277,2017,1,T_mean,26.099999999999998,2017-34
278,2017,1,T_min,20.75,2017-34
279,2017,2,T_max,30.366666666666664,2017-34
280,2017,2,T_mean,26.100000000000005,2017-34
281,2017,2,T_min,22.45,2017-34
282,2017,3,T_max,30.0,2017-34
283,2017,3,T_mean,25.4,2017-35
284,2017,3,T_min,22.3,2017-35
285,2017,4,T_max,29.0,2017-35
286,2017,4,T_mean,25.15,2017-35
287,2017,4,T_min,21.225,2017-36
288,2017,5,T_max,29.879999999999995,2017-36
289,2017,5,T_mean,26.119999999999997,2017-36
290,2017,5,T_min,22.82,2017-36
291,2017,8,T_max,33.2,2017-36
292,2017,8,T_mean,27.9,2017-36
293,2017,8,T_min,22.6,2017-36
294,2017,9,T_max,31.02857142857143,2017-37
295,2017,9,T_mean,26.74285714285714,2017-37
296,2017,9,T_min,22.514285714285712,2017-37
297,2017,10,T_max,32.6,2017-37
298,2017,10,T_mean,26.7,2017-37
299,2017,10,T_min,21.0,2017-37
300,2017,11,T_max,32.1,2017-37
301,2017,11,T_mean,28.2,2017-38
302,2017,11,T_min,23.0,2017-38
